SNO,Values,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10,Value 11,Value 12,Value 13
1,18.50640665,37.0128133,55.51921995,74.02562659,92.53203324,111.0384399,129.5448465,148.0512532,166.5576598,185.0640665,203.5704731,222.0768798,240.5832864
2,259.0896931,277.5960997,296.1025064,314.608913,333.1153197,351.6217263,370.128133,388.6345396,407.1409463,425.6473529,444.1537596,462.6601662,481.1665729
3,499.6729795,518.1793862,536.6857928,555.1921995,573.6986061,592.2050128,610.7114194,629.2178261,647.7242327,666.2306394,684.737046,703.2434526,721.7498593
4,740.2562659,758.7626726,777.2690792,795.7754859,814.2818925,832.7882992,851.2947058,869.8011125,888.3075191,906.8139258,925.3203324,943.8267391,962.3331457
5,980.8395524,999.345959,1017.852366,1036.358772,1054.865179,1073.371586,1091.877992,1110.384399,1128.890806,1147.397212,1165.903619,1184.410026,1202.916432
6,1221.422839,1239.929245,1258.435652,1276.942059,1295.448465,1313.954872,1332.461279,1350.967685,1369.474092,1387.980499,1406.486905,1424.993312,1443.499719
7,1462.006125,1480.512532,1499.018939,1517.525345,1536.031752,1554.538158,1573.044565,1591.550972,1610.057378,1628.563785,1647.070192,1665.576598,1684.083005
8,1702.589412,1721.095818,1739.602225,1758.108632,1776.615038,1795.121445,1813.627852,1832.134258,1850.640665,1869.147072,1887.653478,1906.159885,1924.666291
9,1943.172698,1961.679105,1980.185511,1998.691918,2017.198325,2035.704731,2054.211138,2072.717545,2091.223951,2109.730358,2128.236765,2146.743171,2165.249578
10,2183.755985,2202.262391,2220.768798,2239.275204,2257.781611,2276.288018,2294.794424,2313.300831,2331.807238,2350.313644,2368.820051,2387.326458,2405.832864
11,2424.339271,2442.845678,2461.352084,2479.858491,2498.364898,2516.871304,2535.377711,2553.884118,2572.390524,2590.896931,2609.403337,2627.909744,2646.416151
12,2664.922557,2683.428964,2701.935371,2720.441777,2738.948184,2757.454591,2775.960997,2794.467404,2812.973811,2831.480217,2849.986624,2868.493031,2886.999437
13,2905.505844,2924.01225,2942.518657,2961.025064,2979.53147,2998.037877,3016.544284,3035.05069,3053.557097,3072.063504,3090.56991,3109.076317,3127.582724
14,3146.08913,3164.595537,3183.101944,3201.60835,3220.114757,3238.621164,3257.12757,3275.633977,3294.140383,3312.64679,3331.153197,3349.659603,3368.16601
15,3386.672417,3405.178823,3423.68523,3442.191637,3460.698043,3479.20445,3497.710857,3516.217263,3534.72367,3553.230077,3571.736483,3590.24289,3608.749296
16,3627.255703,3645.76211,3664.268516,3682.774923,3701.28133,3719.787736,3738.294143,3756.80055,3775.306956,3793.813363,3812.31977,3830.826176,3849.332583
17,3867.83899,3886.345396,3904.851803,3923.35821,3941.864616,3960.371023,3978.877429,3997.383836,4015.890243,4034.396649,4052.903056,4071.409463,4089.915869
